iter	RMSE	R2
904	109.1979636	0.9714886521
905	109.1293773	0.9715244563
906	109.1090824	0.9715350466
907	109.0554366	0.9715630305
908	109.009448	0.9715870091
909	108.9946236	0.9715947365
910	108.9513519	0.9716172863
911	108.9123886	0.9716375831
912	108.8408672	0.9716748214
913	108.8018799	0.9716951101
914	108.6252636	0.9717869293
915	108.5841737	0.9718082697
916	108.559735	0.9718209583
917	108.5406	0.9718308912
918	108.5226877	0.9718401879
919	108.4845238	0.9718599902
920	108.4270109	0.9718898191
921	108.3986838	0.971904505
922	108.3017244	0.9719547437
923	108.2891124	0.9719612752
924	108.2529913	0.9719799773
925	108.2217475	0.9719961492
926	108.1699933	0.972022927
927	108.1617059	0.9720272137
928	108.0002728	0.9721106511
929	107.9668173	0.9721279271
930	107.9253932	0.9721493106
931	107.8666626	0.9721796138
932	107.8368092	0.972195011
933	107.7963672	0.9722158624
934	107.7248602	0.9722527115
935	107.6882943	0.9722715453
936	107.6683495	0.9722818155
937	107.6316339	0.9723007164
938	107.5686813	0.972333109
939	107.5367879	0.9723495126
940	107.5017477	0.9723675292
